N° de la commande;Date de la commande;Libellé famille;Libellé sous-famille;Libellé article;Qté commandée;Qté livrée;Prix unitaire;Statut
0001426438;24/03/2017;LOGISTIQUE AGROFOURN;Mélange;MELANGE ENGRAIS;6,02;6,02;7,60;Liquidé
0001396015;21/02/2017;PHYTOSANITAIRES;Fongicides  céréales;ABACUS SP 5 L;45,00;45,00;29,67;Liquidé
0001396015;21/02/2017;PHYTOSANITAIRES;Fongicides  céréales;FANDANGO S 5 L;20,00;20,00;37,47;Liquidé
0001396015;21/02/2017;SEMENCES;Maïs classe a;MA.FUTURIXX BIO D50MG;20,00;20,00;181,49;Liquidé
0001396015;21/02/2017;QUINCAILLERIE EQUIPE;Recyclage;SAC ADIVALOR 500L;1,00;1,00;0,00;Liquidé
0001396015;21/02/2017;QUINCAILLERIE EQUIPE;Equipement de protec;KIT EPI GRATUIT AUDITIF+GANTS USAG.UNIQ;1,00;1,00;0,00;Liquidé
0001393978;20/02/2017;ALIMENTS;Bovins viande;FEC EXCELPACK PROTOR GR VRAC;5,82;5,82;306,18;Liquidé
0001393978;20/02/2017;ALIMENTS;Supplémentations Ali;ALTACID  VRAC;0,06;0,06;1 173,86;Liquidé
0001393978;20/02/2017;ALIMENTS;Bovins lait;FEC DYNA PACK TONUS GR VRAC;2,97;2,97;265,27;Liquidé
0001393978;20/02/2017;ALIMENTS;Supplémentations Ali;ALTIPLUS GR EN MELANGE;0,05;0,05;1 096,58;Liquidé
0062783482;13/02/2017;PHYTOSANITAIRES;Insecticides pyrethr;LAMBDASTAR 3L;-3,00;-3,00;64,59;Liquidé
0062783482;13/02/2017;PHYTOSANITAIRES;Insecticides pyrethr;LAMBDASTAR 1L;-1,00;-1,00;83,30;Liquidé
0062783482;13/02/2017;PHYTOSANITAIRES;Herbicides céréales;DIFLANIL SD 5L;-5,00;-5,00;70,35;Liquidé
0062783482;13/02/2017;PHYTOSANITAIRES;Herbicides céréales;DIFLANIL SD 1L;-3,00;-3,00;73,80;Liquidé
0001386391;10/02/2017;FERTILISANTS;Engrais;AMMONITRE 33,5%    VR;14,00;12,99;331,00;Liquidé
0001386483;10/02/2017;PHYTOSANITAIRES;Herbicides céréales;ALTESSE PRO 5 L;30,00;30,00;41,02;Liquidé
0001386483;10/02/2017;PHYTOSANITAIRES;Adjuvants;MIX-IN 5 L;30,00;30,00;3,18;Liquidé
0001386483;10/02/2017;PHYTOSANITAIRES;Herbicides céréales;PRESITE SX  300G;6,00;6,00;78,89;Liquidé
0001352547;14/12/2016;PHYTOSANITAIRES;Insecticides pyrethr;LAMBDASTAR 3L;3,00;3,00;64,59;Liquidé
0001352547;14/12/2016;PHYTOSANITAIRES;Insecticides pyrethr;LAMBDASTAR 1L;1,00;1,00;83,30;Liquidé
0001352547;14/12/2016;PHYTOSANITAIRES;Herbicides céréales;VARIA 10 L;60,00;60,00;14,27;Liquidé
0001352547;14/12/2016;PHYTOSANITAIRES;Herbicides céréales;DIFLANIL SD 5L;5,00;5,00;70,35;Liquidé
0001352547;14/12/2016;PHYTOSANITAIRES;Herbicides céréales;DIFLANIL SD 1L;3,00;3,00;73,80;Liquidé
0001352547;14/12/2016;PHYTOSANITAIRES;Adjuvants;TECHNOMOUSSE 500 ML;1,00;1,00;20,40;Liquidé
0001352547;14/12/2016;PHYTOSANITAIRES;Anti-limaces;METAREX INO 20 KG;20,00;20,00;5,16;Liquidé
0001335122;22/11/2016;ALIMENTS;Aliments BLOCS;BLOC SODIOLIGO 12K UNIT;10,00;10,00;16,70;Liquidé
0001335140;22/11/2016;ALIMENTS;Bovins viande;FEC EXCELPACK PROTOR GR VRAC;6,21;6,21;306,18;Liquidé
0001335140;22/11/2016;ALIMENTS;Supplémentations Ali;ALTACID  VRAC;0,03;0,03;1 173,86;Liquidé
0001335140;22/11/2016;ALIMENTS;Bovins lait;FEC DYNA PACK TONUS GR VRAC;2,99;2,99;265,26;Liquidé
0001335140;22/11/2016;ALIMENTS;Supplémentations Ali;ALTIPLUS GR EN MELANGE;0,08;0,08;1 096,58;Liquidé
0001328928;15/11/2016;PHYTOSANITAIRES;Anti-limaces;METAREX INO 20 KG;140,00;140,00;5,16;Liquidé
0001322975;07/11/2016;SEMENCES;ORGE SEM;ESC S ETINCEL R1 CELORGN D500;3,00;3,00;17,11;Liquidé
0001322975;07/11/2016;SEMENCES;BLE TENDRE SEM;BTH S DESCARTES R1 GAUDUO D500;3,00;3,00;20,68;Liquidé
0062712634;07/11/2016;SEMENCES;ORGE SEM;ESC S ETINCEL R1 CELORGN D500;-3,00;-3,00;17,11;Liquidé
0062712634;07/11/2016;SEMENCES;BLE TENDRE SEM;BTH S DESCARTES R1 GAUDUO D500;-3,00;-3,00;20,68;Liquidé
0062712639;07/11/2016;SEMENCES;BLE TENDRE SEM;BTH S DESCARTES R1 CELGON D500;-3,00;-3,00;14,73;Liquidé
0062712639;07/11/2016;SEMENCES;ORGE SEM;ESC S ETINCEL R1 CELORGN D500;-3,00;-3,00;15,72;Liquidé
0001304901;13/10/2016;ALIMENTS;Aliments BLOCS;BLOC SODIOLIGO 12K UNIT;10,00;10,00;16,70;Liquidé
0001294183;27/09/2016;SEMENCES;BLE TENDRE SEM;BTH S RUBISKO R1 CELGON D500;75,00;75,00;15,27;Liquidé
0001294183;27/09/2016;SEMENCES;BLE TENDRE SEM;BTH S DESCARTES R1 CELGON D500;112,00;112,00;14,73;Liquidé
0001294183;27/09/2016;SEMENCES;ORGE SEM;ESC S ETINCEL R1 CELORGN D500;73,00;73,00;15,72;Liquidé
0001291749;23/09/2016;ALIMENTS;Aliments BLOCS;BLOC SODIOLIGO 12K UNIT;10,00;10,00;16,70;Liquidé
0001273827;29/08/2016;ALIMENTS;Bovins viande;FEC EXCELPACK PROTOR GR VRAC;3,89;3,89;297,09;Liquidé
0001273827;29/08/2016;ALIMENTS;Supplémentations Ali;ALTIPLUS GR EN MELANGE;0,05;0,05;1 096,58;Liquidé
0001273827;29/08/2016;ALIMENTS;Bovins lait;FEC DYNA PACK TONUS GR VRAC;6,12;6,12;268,30;Liquidé
0001273827;29/08/2016;ALIMENTS;Supplémentations Ali;ALTACID  VRAC;0,06;0,06;1 163,76;Liquidé
0001273831;29/08/2016;QUINCAILLERIE EQUIPE;Films plastiques;FILM ENSIL ENSIGAMM 10m;1,00;1,00;83,15;Liquidé
0001273831;29/08/2016;ALIMENTS;Minéraux  sel blocs;SEL MER ESSORE LA BALEINE  SAC 25KG;0,08;0,08;220,00;Liquidé
0001248853;21/07/2016;ALIMENTS;Aliments BLOCS;BLOC SODIOLIGO 12K UNIT;10,00;10,00;16,70;Liquidé
0001239085;06/07/2016;ALIMENTS;Bovins viande;FEC EXCELPACK PROTOR GR VRAC;3,93;3,93;307,19;Liquidé
0001239085;06/07/2016;ALIMENTS;Supplémentations Ali;ALTIPLUS GR EN MELANGE;0,05;0,05;1 096,58;Liquidé
0001239085;06/07/2016;ALIMENTS;Bovins lait;FEC DYNA PACK TONUS GR VRAC;5,84;5,84;268,29;Liquidé
0001239085;06/07/2016;ALIMENTS;Supplémentations Ali;ALTACID  VRAC;0,06;0,06;1 163,76;Liquidé
0001218301;13/06/2016;PHYTOSANITAIRES;Herbicides maïs;DICAVEL SL 1L;1,00;1,00;32,84;Liquidé
0001218301;13/06/2016;QUINCAILLERIE EQUIPE;Ficelles;FICELLE FILOGAMM  350  BOB 5KG;2,00;2,00;11,87;Liquidé
0001217083;10/06/2016;PHYTOSANITAIRES;Herbicides totaux;GLYFOS DAKAR 10 KG;20,00;20,00;13,35;Liquidé
0001200882;25/05/2016;FERTILISANTS;Engrais;UREE GR VRAC;1,48;1,48;280,00;Liquidé
0001199889;24/05/2016;ALIMENTS;Bovins viande;FEC EXCELPACK PROTOR GR VRAC;2,88;2,88;297,09;Liquidé
0001199889;24/05/2016;ALIMENTS;Bovins lait;FEC DYNA PACK TONUS GR VRAC;7,05;7,05;270,31;Liquidé
0001199889;24/05/2016;ALIMENTS;Supplémentations Ali;ALTACID  VRAC;0,03;0,00;1 163,76;A livrer
0001199889;24/05/2016;ALIMENTS;Supplémentations Ali;ALTIPLUS GR EN MELANGE;0,08;0,08;1 081,42;Liquidé
0001199991;24/05/2016;QUINCAILLERIE EQUIPE;Films plastiques;FILM ENSIL SILOVERT NOIR VERT 150µ 14M;1,00;1,00;112,94;Liquidé
0001199991;24/05/2016;ALIMENTS;Minéraux  sel blocs;SEL MER ESSORE LA BALEINE  SAC 25KG;0,08;0,08;220,00;Liquidé
0062339401;24/05/2016;PHYTOSANITAIRES;Fongicides  céréales;ABACUS SP 5 L;-5,00;-5,00;31,43;Liquidé
0062339401;24/05/2016;PHYTOSANITAIRES;Herbicides maïs;RAJAH 5 L;-5,00;-5,00;21,78;Liquidé
0062339401;24/05/2016;PHYTOSANITAIRES;Fongicides divers;FUNGISTOP FL 5 L;-5,00;-5,00;11,24;Liquidé
0001190971;10/05/2016;PHYTOSANITAIRES;Fongicides  céréales;FANDANGO S 5 L;25,00;25,00;40,24;Liquidé
0001190971;10/05/2016;PHYTOSANITAIRES;Fongicides  céréales;ABACUS SP 5 L;5,00;5,00;34,60;Liquidé
0001190971;10/05/2016;FERTILISANTS;Engrais;UREE GR VRAC;4,50;4,50;280,00;Liquidé
0001191169;10/05/2016;ALIMENTS;Aliments BLOCS;BLOC SODIOLIGO 12K UNIT;1,00;1,00;16,54;Liquidé
0001183361;29/04/2016;QUINCAILLERIE EQUIPE;Films plastiques;FILM ENSIL ENSIGAMM 10m;1,00;1,00;83,15;Liquidé
0001183108;28/04/2016;PHYTOSANITAIRES;Anti-limaces;SLUXX HP 20KG;40,00;40,00;4,63;Liquidé
0001183108;28/04/2016;ALIMENTS;Minéraux  sel blocs;SEL MER ESSORE LA BALEINE  SAC 25KG;0,10;0,10;220,00;Liquidé
0001183108;28/04/2016;PHYTOSANITAIRES;Fongicides  céréales;ABACUS SP 5 L;20,00;20,00;34,60;Liquidé
0001183108;28/04/2016;PHYTOSANITAIRES;Herbicides totaux;GLYFOS DAKAR 10 KG;10,00;10,00;13,35;Liquidé
0001169957;12/04/2016;ALIMENTS;Bovins lait;FEC DYNA PACK TONUS GR VRAC;5,80;5,80;270,32;Liquidé
0001169957;12/04/2016;ALIMENTS;Bovins viande;FEC EXCELPACK PROTOR GR VRAC;3,85;3,85;297,09;Liquidé
0001169957;12/04/2016;ALIMENTS;Supplémentations Ali;ALTIPLUS GR EN MELANGE;0,07;0,07;1 116,78;Liquidé
0001169957;12/04/2016;ALIMENTS;Supplémentations Ali;ALTACID  VRAC;0,04;0,04;1 163,76;Liquidé
0001170176;12/04/2016;FERTILISANTS;Engrais;AMMONITRE 33,5%    VR;9,98;9,98;323,00;Liquidé
0001153601;22/03/2016;FERTILISANTS;Engrais;AMMONITRE 33,5%    VR;4,56;4,56;342,00;Liquidé
0001152006;18/03/2016;FERTILISANTS;Engrais;AMMONITRE 33,5%    VR;7,82;7,82;342,00;Liquidé
0001152017;18/03/2016;PHYTOSANITAIRES;Herbicides totaux;GLYFOS DAKAR 10 KG;10,00;10,00;13,35;Liquidé
0001152017;18/03/2016;PHYTOSANITAIRES;Herbicides céréales;PRESITE SX  300G;1,00;1,00;80,30;Liquidé
0001152017;18/03/2016;PHYTOSANITAIRES;Adjuvants;TECHNOMOUSSE 500 ML;1,00;1,00;20,40;Liquidé
0001138209;01/03/2016;ALIMENTS;Bovins lait;FEC DYNA PACK TONUS GR VRAC;6,08;6,08;270,32;Liquidé
0001138209;01/03/2016;ALIMENTS;Bovins viande;FEC EXCELPACK PROTOR GR VRAC;3,95;3,95;327,39;Liquidé
0001138209;01/03/2016;ALIMENTS;Supplémentations Ali;ALTIPLUS GR EN MELANGE;0,05;0,05;1 116,78;Liquidé
0001138209;01/03/2016;ALIMENTS;Supplémentations Ali;ALTACID  VRAC;0,04;0,00;1 163,76;A livrer
0001137149;29/02/2016;PHYTOSANITAIRES;Fongicides  céréales;ABACUS SP 5 L;45,00;45,00;31,43;Liquidé
0001137149;29/02/2016;PHYTOSANITAIRES;Fongicides  céréales;PROSARO 5 L;10,00;10,00;53,04;Liquidé
0001137149;29/02/2016;PHYTOSANITAIRES;Fongicides  céréales;CHEROKEE 5L;20,00;20,00;24,18;Liquidé
0001137149;29/02/2016;PHYTOSANITAIRES;Fongicides  céréales;FANDANGO S 5 L;20,00;20,00;37,47;Liquidé
0001137149;29/02/2016;PHYTOSANITAIRES;Fongicides  céréales;PIXEL 5 L;15,00;15,00;21,27;Liquidé
0001137149;29/02/2016;PHYTOSANITAIRES;Fongicides divers;FUNGISTOP FL 5 L;30,00;30,00;11,24;Liquidé
0001137149;29/02/2016;PHYTOSANITAIRES;Herbicides maïs;ELITE 4 SC 5 L;10,00;10,00;18,12;Liquidé
0001137149;29/02/2016;PHYTOSANITAIRES;Herbicides maïs;CALLISTO 5 L;10,00;10,00;46,23;Liquidé
0001137149;29/02/2016;PHYTOSANITAIRES;Herbicides maïs;CONQUERANT 2 KG;2,00;2,00;72,80;Liquidé
0001137149;29/02/2016;PHYTOSANITAIRES;Herbicides maïs;RAJAH 5 L;10,00;10,00;21,78;Liquidé
0001137149;29/02/2016;SEMENCES;Maïs classe a;MA.LG30525 STD D50MG;8,00;8,00;108,60;Liquidé
0001137149;29/02/2016;SEMENCES;Maïs classe a;MA.BERGXXON DUO STD D50MG;8,00;8,00;106,37;Liquidé
0001137149;29/02/2016;SEMENCES;Maïs classe a;MA.BERGXXON DUO SONIDO D50MG;8,00;8,00;138,38;Liquidé
0001124612;29/01/2016;PHYTOSANITAIRES;Herbicides céréales;INTERDIT / MADIT DISPERSION 20 L;20,00;20,00;12,23;Liquidé
0001124612;29/01/2016;PHYTOSANITAIRES;Herbicides céréales;STARTER WG 0,1KG;1,00;1,00;94,86;Liquidé
0001124612;29/01/2016;PHYTOSANITAIRES;Herbicides céréales;AXIAL PRATIC 5 L;5,00;5,00;36,88;Liquidé
0001124612;29/01/2016;PHYTOSANITAIRES;Herbicides céréales;ALTESSE PRO 5 L;20,00;20,00;42,82;Liquidé
0001124612;29/01/2016;PHYTOSANITAIRES;Herbicides céréales;PRESITE SX  300G;7,00;7,00;80,30;Liquidé
0001124612;29/01/2016;PHYTOSANITAIRES;Adjuvants;MIX-IN 5 L;15,00;15,00;3,18;Liquidé
0001116798;06/01/2016;ALIMENTS;Bovins lait;FEC DYNA PACK TONUS GR VRAC;4,73;4,73;285,47;Liquidé
0001116798;06/01/2016;ALIMENTS;Bovins viande;FEC EXCELPACK PROTOR GR VRAC;5,01;5,01;327,39;Liquidé
0001116798;06/01/2016;ALIMENTS;Supplémentations Ali;ALTIPLUS GR EN MELANGE;0,05;0,05;1 116,78;Liquidé
0001116798;06/01/2016;ALIMENTS;Supplémentations Ali;ALTACID  VRAC;0,05;0,00;1 163,76;A livrer
0001113097;18/12/2015;PHYTOSANITAIRES;Herbicides tournesol;NIKEYL 5 L;30,00;30,00;24,29;Liquidé
0001111378;15/12/2015;SEMENCES;POIS SEM;POIS PRIN S MOWGLI R1 WAKIL XL S25;21,00;21,00;100,60;Liquidé
0001111378;15/12/2015;SEMENCES;Couverts environneme;CIPALLIANCE N°1 S25KG;20,00;20,00;48,72;Liquidé
0001111551;15/12/2015;SEMENCES;POIS SEM;POIS PRIN S MOWGLI R1 WAKIL XL S25;2,75;2,75;100,60;Liquidé
0001105446;30/11/2015;PHYTOSANITAIRES;Herbicides céréales;INTERDIT / MADIT DISPERSION 20 L;20,00;20,00;12,23;Liquidé
0001105446;30/11/2015;PHYTOSANITAIRES;Herbicides céréales;INTERDIT / MATARA 10 L;10,00;10,00;12,23;Liquidé
0001105446;30/11/2015;PHYTOSANITAIRES;Herbicides céréales;DIFLANIL SD 5L;5,00;5,00;70,35;Liquidé
0001098277;12/11/2015;SEMENCES;POIS SEM;POIS PRIN S KAYANNE R1 WAKIL XL  R1 S25;21,00;0,00;100,60;Liquidé
0001097581;10/11/2015;SEMENCES;BLE TENDRE SEM;BTH S RUBISKO R1 CELGON D500;6,00;6,00;18,76;Liquidé
0001097581;10/11/2015;SEMENCES;BLE TENDRE SEM;BTH S EUCLIDE R1 CELGON D500;2,00;2,00;17,76;Liquidé
0001097207;09/11/2015;SEMENCES;BLE DUR SEM;BD S MIRADOUX R1 GAUDUO D500;2,00;2,00;33,01;Liquidé
0062270249;09/11/2015;SEMENCES;BLE DUR SEM;BD S MIRADOUX R1 CELGON D500;-2,00;-2,00;24,90;Liquidé
0001094048;02/11/2015;ALIMENTS;Bovins lait;FEC DYNA PACK TONUS GR VRAC;3,87;3,87;288,47;Liquidé
0001094048;02/11/2015;ALIMENTS;Bovins viande;FEC EXCELPACK PROTOR GR VRAC;5,80;5,80;327,39;Liquidé
0001094048;02/11/2015;ALIMENTS;Supplémentations Ali;ALTIPLUS GR EN MELANGE;0,05;0,05;1 116,78;Liquidé
0001094048;02/11/2015;ALIMENTS;Supplémentations Ali;ALTACID  VRAC;0,06;0,06;1 163,76;Liquidé
0001094310;02/11/2015;SEMENCES;BLE DUR SEM;BD S MIRADOUX R1 GAUDUO D500;4,00;4,00;33,01;Liquidé
0001091911;28/10/2015;PHYTOSANITAIRES;Anti-limaces;SLUXX HP 20KG;100,00;100,00;4,63;Liquidé
0062240057;28/10/2015;SEMENCES;ORGE SEM;ESC S ETINCEL R1 GAUDUO D500;-1,00;-1,00;22,66;Liquidé
0001091604;27/10/2015;SEMENCES;ORGE SEM;ESC S ETINCEL R1 GAUDUO D500;2,00;2,00;22,66;Liquidé
0001091604;27/10/2015;SEMENCES;ORGE SEM;ESC S ETINCEL R1 GAUDUO D500;1,00;1,00;22,66;Liquidé
0001089031;21/10/2015;PHYTOSANITAIRES;Herbicides totaux;GLYFOS DAKAR 10 KG;10,00;10,00;13,35;Liquidé
0001087848;19/10/2015;PHYTOSANITAIRES;Herbicides céréales;TABLO 700 10L;10,00;10,00;16,37;Liquidé
0001087848;19/10/2015;PHYTOSANITAIRES;Herbicides autres;CENTIUM 36 CS         3 L;3,00;3,00;137,86;Liquidé
0001087848;19/10/2015;ALIMENTS;Minéraux  sel blocs;SEL MER ESSORE LA BALEINE  SAC 25KG;0,10;0,10;229,00;Liquidé
0001084314;10/10/2015;QUINCAILLERIE EQUIPE;Films plastiques;SILOSAC TISSE VERT POIGNEE+ TIRETTE  X25;2,00;2,00;23,80;Liquidé
0001080377;30/09/2015;PHYTOSANITAIRES;Anti-limaces;METAREX INO 20 KG;20,00;20,00;5,05;Liquidé
0001080377;30/09/2015;PHYTOSANITAIRES;Anti-limaces;SLUXX HP 20KG;40,00;40,00;4,63;Liquidé
0001080380;30/09/2015;PHYTOSANITAIRES;Herbicides totaux;GLYFOS DAKAR 10 KG;10,00;10,00;13,35;Liquidé
0001078157;24/09/2015;PHYTOSANITAIRES;Herbicides totaux;GLYFOS DAKAR 10 KG;20,00;20,00;13,35;Liquidé
0001078157;24/09/2015;ALIMENTS;Minéraux  sel blocs;SEL MER ESSORE LA BALEINE  SAC 25KG;0,10;0,10;229,00;Liquidé
0001078157;24/09/2015;PHYTOSANITAIRES;Anti-limaces;METAREX INO 20 KG;20,00;20,00;5,05;Liquidé
0001075928;18/09/2015;ALIMENTS;Bovins lait;FEC DYNA PACK TONUS GR VRAC;4,67;4,67;293,55;Liquidé
0001075928;18/09/2015;ALIMENTS;Supplémentations Ali;ALTIPLUS GR EN MELANGE;0,05;0,05;1 116,78;Liquidé
0001075928;18/09/2015;ALIMENTS;Bovins viande;FEC EXCELPACK PROTOR GR VRAC;4,97;4,97;327,39;Liquidé
0001075928;18/09/2015;ALIMENTS;Supplémentations Ali;ALTACID  VRAC;0,05;0,05;1 163,76;Liquidé
0001075498;17/09/2015;SEMENCES;LUPIN BL SEM;LUPIN HIVER CLOVIS WAKIL D100MG;44,00;44,00;56,34;Liquidé
0001074018;14/09/2015;SEMENCES;ORGE SEM;ESC S ETINCEL R1 GAUDUO D500;70,00;70,00;21,28;Liquidé
0001074018;14/09/2015;SEMENCES;BLE DUR SEM;BD S MIRADOUX R1 CELGON D500;70,00;70,00;24,90;Liquidé
0001074018;14/09/2015;SEMENCES;BLE TENDRE SEM;BTH S TOLDI R1 GAUDUO S50;12,50;12,50;95,18;Liquidé
0001074018;14/09/2015;SEMENCES;BLE TENDRE SEM;BTH S RUBISKO R1 GAUDUO D500;50,00;50,00;23,38;Liquidé
0001074018;14/09/2015;SEMENCES;BLE TENDRE SEM;BTH S AREZZO R1 GAUDUO D500;50,00;50,00;22,39;Liquidé
0001073179;11/09/2015;QUINCAILLERIE EQUIPE;Films plastiques;FILM ENSIL SILOVERT NOIR VERT 150µ 14M;1,00;1,00;113,35;Liquidé
0001073179;11/09/2015;QUINCAILLERIE EQUIPE;Films plastiques;FILM ENSIL ENSIGAMM 10m;1,00;1,00;86,65;Liquidé
0001073179;11/09/2015;QUINCAILLERIE EQUIPE;Films plastiques;FILM ENSIL ENSIGAMM 8M;1,00;1,00;86,65;Liquidé
0001073179;11/09/2015;ALIMENTS;Minéraux  sel blocs;SEL MER ESSORE LA BALEINE  SAC 25KG;0,10;0,10;229,00;Liquidé
0001058573;06/08/2015;ALIMENTS;Bovins lait;FEC DYNA PACK TONUS GR VRAC;6,17;6,17;293,55;Liquidé
0001058573;06/08/2015;ALIMENTS;Bovins viande;FEC EXCELPACK PROTOR GR VRAC;2,89;2,89;327,39;Liquidé
0001058573;06/08/2015;ALIMENTS;Supplémentations Ali;ALTIPLUS GR EN MELANGE;0,08;0,08;1 116,78;Liquidé
0001058573;06/08/2015;ALIMENTS;Supplémentations Ali;ALTACID  VRAC;0,03;0,03;1 163,76;Liquidé
0001045786;08/07/2015;PHYTOSANITAIRES;Herbicides maïs;TROY 480 5L;20,00;20,00;11,17;Liquidé
0001045787;08/07/2015;QUINCAILLERIE EQUIPE;Ficelles;FICELLE FILOGAMM  350  BOB 5KG;4,00;4,00;12,37;Liquidé
0001045856;08/07/2015;PHYTOSANITAIRES;Herbicides maïs;MANIVEL 480 1L;1,00;1,00;32,84;Liquidé
0001043002;01/07/2015;ALIMENTS;Bovins lait;FEC DYNA PACK TONUS GR VRAC;5,71;5,71;293,55;Liquidé
0001043002;01/07/2015;ALIMENTS;Bovins viande;FEC EXCELPACK PROTOR GR VRAC;2,89;2,89;327,39;Liquidé
0001043002;01/07/2015;ALIMENTS;Supplémentations Ali;ALTACID  VRAC;0,03;0,03;1 163,76;Liquidé
0001043002;01/07/2015;ALIMENTS;Supplémentations Ali;ALTIPLUS GR EN MELANGE;0,07;0,07;1 116,78;Liquidé
0001028217;04/06/2015;FERTILISANTS;Engrais;UREE GR VRAC;1,32;1,32;359,00;Liquidé
0001026730;02/06/2015;PHYTOSANITAIRES;Herbicides totaux;GLYFOS DAKAR 10 KG;10,00;10,00;13,35;Liquidé
0001024596;28/05/2015;ALIMENTS;Bovins lait;FEC DYNA PACK TONUS GR VRAC;5,31;5,31;299,11;Liquidé
0001024596;28/05/2015;ALIMENTS;Bovins viande;FEC EXCELPACK PROTOR GR VRAC;2,87;2,87;332,95;Liquidé
0001024596;28/05/2015;ALIMENTS;Supplémentations Ali;ALTACID  VRAC;0,03;0,03;1 163,76;Liquidé
0001024596;28/05/2015;ALIMENTS;Supplémentations Ali;ALTIPLUS GR EN MELANGE;0,07;0,07;1 116,78;Liquidé
0001016562;19/05/2015;ALIMENTS;Minéraux  sel blocs;SEL MER ESSORE LA BALEINE  SAC 25KG;0,05;0,05;229,00;Liquidé
0001014351;18/05/2015;ALIMENTS;Minéraux  sel blocs;SEL MER ESSORE LA BALEINE  SAC 25KG;0,10;0,10;229,00;Liquidé
0001015000;18/05/2015;FERTILISANTS;Engrais;AMMONITRE 33,5%    VR;2,90;2,90;388,00;Liquidé
0001015054;18/05/2015;QUINCAILLERIE EQUIPE;Films plastiques;FILM ENSIL ENSIGAMM 8M;1,00;1,00;81,35;Liquidé
0001015054;18/05/2015;QUINCAILLERIE EQUIPE;Films plastiques;FILM ENSIL ENSIGAMM 12m;1,00;1,00;81,35;Liquidé
0001015054;18/05/2015;QUINCAILLERIE EQUIPE;Films plastiques;FILM ENSIL SILOVERT NOIR VERT 150µ 14M;1,00;1,00;105,14;Liquidé
0001015054;18/05/2015;PHYTOSANITAIRES;Adjuvants;TECHNOMOUSSE 500 ML;1,00;1,00;20,40;Liquidé
