Date,Tiers,Reference,variant_nomen,quantité,Prix unitaire HT,Taux TVA,Description
2017-04-30,TERRILACTI,2017045026600,LAIT_VACHE_1000L,"14,115","301,908","5,5",Lait Avril 2017
2017-04-30,TERRILACTI,2017045026600,milk_taxe,"14,115","-0,107",0,Cotisation CNIEL
2017-04-30,TERRILACTI,2017045026600,milk_taxe,"14,115","-1,113",20,Cotisation CNIEL (assujetti TVA 20%)
2017-04-30,TERRILACTI,2017045026600,milk_taxe,"14,115","-0,36",20,Cotisation Beurre AOP Chtes Poitou
2017-05-31,TERRILACTI,2017055026600,LAIT_VACHE_1000L,"13,734","329,751","5,5",Lait Mai 2017
2017-05-31,TERRILACTI,2017055026600,milk_taxe,"13,734","-0,107",0,Cotisation CNIEL
2017-05-31,TERRILACTI,2017055026600,milk_taxe,"13,734","-1,113",20,Cotisation CNIEL (assujetti TVA 20%)
2017-05-31,TERRILACTI,2017055026600,milk_taxe,"13,734","-0,36",20,Cotisation Beurre AOP Chtes Poitou
2017-06-30,TERRILACTI,2017065026600,LAIT_VACHE_1000L,"12,418","321,162","5,5",Lait Juin 2017
2017-06-30,TERRILACTI,2017065026600,milk_taxe,"12,418","-0,107",0,Cotisation CNIEL
2017-06-30,TERRILACTI,2017065026600,milk_taxe,"12,418","-1,113",20,Cotisation CNIEL (assujetti TVA 20%)
2017-06-30,TERRILACTI,2017065026600,milk_taxe,"12,418","-0,36",20,Cotisation Beurre AOP Chtes Poitou
2017-07-31,TERRILACTI,2017075026600,LAIT_VACHE_1000L,"13,815","327,077","5,5",Lait Juillet 2017
2017-07-31,TERRILACTI,2017075026600,milk_taxe,"13,815","-0,107",0,Cotisation CNIEL
2017-07-31,TERRILACTI,2017075026600,milk_taxe,"13,815","-1,113",20,Cotisation CNIEL (assujetti TVA 20%)
2017-07-31,TERRILACTI,2017075026600,milk_taxe,"13,815","-0,36",20,Cotisation Beurre AOP Chtes Poitou
2017-08-31,TERRILACTI,2017085026600,LAIT_VACHE_1000L,"11,578","336,971","5,5",Lait Aout 2017
2017-08-31,TERRILACTI,2017085026600,milk_taxe,"11,578","-0,107",0,Cotisation CNIEL
2017-08-31,TERRILACTI,2017085026600,milk_taxe,"11,578","-1,113",20,Cotisation CNIEL (assujetti TVA 20%)
2017-08-31,TERRILACTI,2017085026600,milk_taxe,"11,578","-0,36",20,Cotisation Beurre AOP Chtes Poitou
2017-09-30,TERRILACTI,2017095026600,LAIT_VACHE_1000L,"12,626","364,838","5,5",Lait Septembre 2017
2017-09-30,TERRILACTI,2017095026600,milk_taxe,"12,626","-0,107",0,Cotisation CNIEL
2017-09-30,TERRILACTI,2017095026600,milk_taxe,"12,626","-1,113",20,Cotisation CNIEL (assujetti TVA 20%)
2017-09-30,TERRILACTI,2017095026600,milk_taxe,"12,626","-0,36",20,Cotisation Beurre AOP Chtes Poitou
2017-10-31,TERRILACTI,2017105026600,LAIT_VACHE_1000L,"12,59","388,515","5,5",Lait Octobre 2017
2017-10-31,TERRILACTI,2017105026600,milk_taxe,"12,59","-0,107",0,Cotisation CNIEL
2017-10-31,TERRILACTI,2017105026600,milk_taxe,"12,59","-1,113",20,Cotisation CNIEL (assujetti TVA 20%)
2017-10-31,TERRILACTI,2017105026600,milk_taxe,"12,59","-0,36",20,Cotisation Beurre AOP Chtes Poitou
2017-11-30,TERRILACTI,2017115026600,LAIT_VACHE_1000L,"10,214","400,289","5,5",Lait Novembre 2017
2017-11-30,TERRILACTI,2017115026600,milk_taxe,"10,214","-0,107",0,Cotisation CNIEL
2017-11-30,TERRILACTI,2017115026600,milk_taxe,"10,214","-1,113",20,Cotisation CNIEL (assujetti TVA 20%)
2017-11-30,TERRILACTI,2017115026600,milk_taxe,"10,214","-0,36",20,Cotisation Beurre AOP Chtes Poitou
2017-12-31,TERRILACTI,2017125026600,LAIT_VACHE_1000L,"9,19","378,47","5,5",Lait Décembre 2017
2017-12-31,TERRILACTI,2017125026600,milk_taxe,"9,19","-0,107",0,Cotisation CNIEL
2017-12-31,TERRILACTI,2017125026600,milk_taxe,"9,19","-1,113",20,Cotisation CNIEL (assujetti TVA 20%)
2017-12-31,TERRILACTI,2017125026600,milk_taxe,"9,19","-0,36",20,Cotisation Beurre AOP Chtes Poitou
2017-06-30,CHARENTES ELLIANCE,91782135,barley_grain,"38,476",100,10,Orge Fourragere R2017
2017-06-30,CHARENTES ELLIANCE,91782135,barley_grain,"22,601","99,5",10,Orge Fourragere R2017
2017-06-30,CHARENTES ELLIANCE,91782135,barley_grain,"6,671",98,10,Orge Fourragere R2017
2017-06-30,CHARENTES ELLIANCE,91782135,barley_grain,"5,572",97,10,Orge Fourragere R2017
2017-06-30,CHARENTES ELLIANCE,91782135,cereal_taxe,"73,32","-0,28",0,Taxe France Agrimer
2017-06-30,CHARENTES ELLIANCE,91782135,cereal_taxe,"73,32","-0,63",0,CVO Intercereales
2017-06-30,CHARENTES ELLIANCE,91782135,cereal_taxe,"73,32","-0,7",0,CVO GNIS
2018-01-01,CHARENTES ELLIANCE,2018FVCP01,wheat_grain,85,25,"5,5",Blé tendre 2017 CP
2018-01-31,TERRILACTI,2018015026600,cow_milk,7487,"0,3622667","5,5",Lait Janvier 2018
2018-01-31,TERRILACTI,2018015026600,milk_taxe,"7,487","-0,107",0,Cotisation CNIEL
2018-01-31,TERRILACTI,2018015026600,milk_taxe,"7,487","-1,113",20,Cotisation CNIEL (assujetti TVA 20%)
2018-01-31,TERRILACTI,2018015026600,milk_taxe,"7,487","-0,36",20,Cotisation Beurre AOP Chtes Poitou
2018-02-28,TERRILACTI,2018025026600,cow_milk,8319,"0,352198","5,5",Lait Février 2018
2018-02-28,TERRILACTI,2018015026600,milk_taxe,"8,319","-0,107",0,Cotisation CNIEL
2018-02-28,TERRILACTI,2018015026600,milk_taxe,"8,319","-1,113",20,Cotisation CNIEL (assujetti TVA 20%)
2018-02-28,TERRILACTI,2018015026600,milk_taxe,"8,319","-0,36",20,Cotisation Beurre AOP Chtes Poitou
2018-03-31,TERRILACTI,2018035026600,cow_milk,10817,"0,332432","5,5",Lait Mars 2018
2018-03-31,TERRILACTI,2018035026600,milk_taxe,"10,817","-0,107",0,Cotisation CNIEL
2018-03-31,TERRILACTI,2018035026600,milk_taxe,"10,817","-1,113",20,Cotisation CNIEL (assujetti TVA 20%)
2018-03-31,TERRILACTI,2018035026600,milk_taxe,"10,817","-0,36",20,Cotisation Beurre AOP Chtes Poitou
